full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,100614,100614,15470,1470,1470,298,https://github.com/anthropics/claude-code
claude-code-best/claude-code,7504,7504,9167,277,277,253,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,130947,130947,18696,435,435,108,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,46396,46396,7316,70,70,12,https://github.com/shareAI-lab/learn-claude-code
jarmuine/claude-code,1308,1308,4291,66,66,118,https://github.com/jarmuine/claude-code
ChinaSiro/claude-code-sourcemap,7302,7302,12587,75,75,113,https://github.com/ChinaSiro/claude-code-sourcemap
hesreallyhim/awesome-claude-code,35515,35515,2702,69,69,16,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,31102,31102,2429,35,35,5,https://github.com/musistudio/claude-code-router
RishabhK103/claude-code,24,24,7548,19,19,-216,https://github.com/RishabhK103/claude-code
davila7/claude-code-templates,23992,23992,2338,8,8,-2,https://github.com/davila7/claude-code-templates
pengchengneo/Claude-Code,745,745,1579,12,12,12,https://github.com/pengchengneo/Claude-Code
shanraisshan/claude-code-best-practice,30415,30415,2653,105,105,12,https://github.com/shanraisshan/claude-code-best-practice
NanmiCoder/claude-code-haha,2859,2859,3511,164,164,168,https://github.com/NanmiCoder/claude-code-haha
codeaashu/claude-code,630,630,1113,112,112,185,https://github.com/codeaashu/claude-code
tanbiralam/claude-code,600,600,1059,99,99,150,https://github.com/tanbiralam/claude-code
VoltAgent/awesome-claude-code-subagents,15944,15944,1798,33,33,5,https://github.com/VoltAgent/awesome-claude-code-subagents
Onewon/claude-code,128,128,1729,7,7,96,https://github.com/Onewon/claude-code
oboard/claude-code-rev,2082,2082,2868,64,64,43,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,6813,6813,1647,6,6,5,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,1301,1301,2446,32,32,29,https://github.com/ponponon/claude_code_src
Piebald-AI/claude-code-system-prompts,7942,7942,1403,36,36,13,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9393,9393,1200,3,3,0,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,7807,7807,1155,18,18,1,https://github.com/Donchitos/Claude-Code-Game-Studios
