full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,130055,130055,21137,76,76,10,https://github.com/anthropics/claude-code
claude-code-best/claude-code,19446,19446,16056,12,12,5,https://github.com/claude-code-best/claude-code
jarmuine/claude-code,2176,2176,5893,1,1,2,https://github.com/jarmuine/claude-code
yasasbanukaofficial/claude-code,3427,3427,4691,1,1,-1,https://github.com/yasasbanukaofficial/claude-code
shareAI-lab/learn-claude-code,64654,64654,10555,57,57,11,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,2805,2805,3411,4,4,0,https://github.com/codeaashu/claude-code
ChinaSiro/claude-code-sourcemap,9323,9323,14683,3,3,0,https://github.com/ChinaSiro/claude-code-sourcemap
tanbiralam/claude-code,1808,1808,2585,1,1,3,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1454,1454,2414,3,3,0,https://github.com/pengchengneo/Claude-Code
RishabhK103/claude-code,88,88,7253,0,0,0,https://github.com/RishabhK103/claude-code
Alishahryar1/free-claude-code,32217,32217,4887,72,72,12,https://github.com/Alishahryar1/free-claude-code
hesreallyhim/awesome-claude-code,45652,45652,3971,17,17,2,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,56359,56359,5664,35,35,4,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,34690,34690,2835,8,8,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,27763,27763,2865,7,7,0,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,876,876,1201,1,1,1,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,181,181,2268,0,0,-2,https://github.com/Onewon/claude-code
Donchitos/Claude-Code-Game-Studios,20801,20801,3033,20,20,4,https://github.com/Donchitos/Claude-Code-Game-Studios
oboard/claude-code-rev,3188,3188,3817,0,0,1,https://github.com/oboard/claude-code-rev
VoltAgent/awesome-claude-code-subagents,21183,21183,2483,19,19,2,https://github.com/VoltAgent/awesome-claude-code-subagents
